,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ATAC
104,multivi-louvain,Embedding,6924.0,0.7456978826952599,0.8777011319511222,0.7107311502387288,0.8442200819651058,0.3417684974723974,0.2475391923941645,0.2767065486795328,0.4857652356432451,0.4988842095133934,0.9234363333820358,0.8913356583383829,0.2924993187189102,0.4799286052584648,R25,A25
105,scAI-louvain,Embedding,6924.0,0.8914672353910549,0.8817398240850977,0.915001750029037,0.9416238165873894,0.2491450579829979,0.4958759465309789,0.4863336584289031,0.6214486759347584,0.6001373371434234,0.9535450027658844,0.9370706575125812,0.6186439841985703,0.5464418455958366,R25,A25
106,scDEC-louvain,Embedding,6924.0,0.846647097709337,0.8804946368855654,0.8532148223553595,0.904508697284984,0.2457802248727233,0.3442069648907873,0.4056764110875683,0.5092067503156479,0.5333295726922529,0.9366047618874128,0.9173159797001637,0.6251255571842194,0.4975915532559156,R25,A25
107,scMDC-louvain,Embedding,6924.0,0.8624015358724606,0.9162358616039472,0.839137039531187,0.8168203656639821,0.3446817646609104,0.5049424490546343,0.4882149775572512,0.6552390815960558,0.6347256417417744,0.9633961933928396,0.9546888482113768,0.1714528799057006,0.5255366116762161,R25,A25
108,scMVAE-louvain,Embedding,6924.0,0.8886643138543004,0.8951563678479763,0.9612603090996992,0.9830467358193088,0.2783248092117859,0.4340981957361507,0.4961163799153,0.5679604938712677,0.5863429769115365,0.935304559628062,0.903514250604533,0.6567443311214447,0.5964284390211105,R25,A25
109,scMVP-louvain,Embedding,6924.0,0.923926268238582,0.9058803795679312,0.9452703059974976,0.9341744065647836,0.2832400818388783,0.5388964224847863,0.640461612462089,0.6945616640167193,0.7146472048544849,0.9620822008283858,0.9611944649695168,0.5484933294355869,0.4894880075007677,R25,A25
110,SeuratV4,Graph,6924.0,,,0.9755409250849592,0.97267050679931,0.3092853969705063,0.5490196794133108,0.524778792196489,0.6927431572881005,0.6604296912960254,0.9753285133802772,0.9788151421730472,,,R25,A25
111,uniPort-louvain,Embedding,6924.0,0.8966017160319723,0.9449020282288138,0.2687393667141072,0.707803821270299,0.5467418022455934,-0.0003626760873604,0.0006394365027206,0.0014216108134269,0.0009175416984475,0.68040759772362,0.4442807906833905,0.4028607383370399,0.4576200619339943,R25,A25
112,cobolt-louvain,Embedding,6924.0,0.7898941164379853,0.8714045580618881,0.8693254909028536,0.9090633556002728,0.323731340191372,0.3287999176480696,0.3511847896060721,0.5695000454355392,0.5680527918625621,0.9542083611760924,0.957214407867784,0.3952053859829902,0.5945228561758995,R50,A100
113,DCCA-louvain,Embedding,6924.0,0.8401386600132358,0.8598612453491721,0.9199459939416508,0.9592735308902496,0.2726213386604023,0.3994515328990629,0.432362437790129,0.6199547820225407,0.6093990961352882,0.9639486171485816,0.9665102257322952,0.669256791472435,0.6136058866977692,R50,A100
