,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s1d1,s3d10
48,SeuratV5,Embedding,19786.0,0.5671167535774085,0.1530366364517953,0.8591188364722305,0.921399378558745,0.157735451203308,0.433288094145948,0.3140679645172169,0.7147965996870241,0.6269506693233453,0.9950513501842512,0.9983555176592608,0.9335111379623412,0.480417759468158,R75_A75,R100_A100
49,SeuratV5,Embedding,19786.0,0.5969069750769023,0.1126524265889917,0.8235556251581712,0.8517792442000122,0.1627345563963372,0.4102806733135052,0.3119463501905204,0.7023808550416953,0.6235454860353471,0.9955146299941988,0.9983285151075132,0.9395471215248108,0.481431713534726,R100_A100,R100_A100
50,SeuratV5,Embedding,19786.0,0.5030979462569224,0.2384665122130583,0.8293579184820407,0.900015923810021,0.2345283704615139,0.3260704834513431,0.2904510261870722,0.5434659036752606,0.5088360835719918,0.9729442798286876,0.9761168934099383,0.8754614591598511,0.4543118530677424,R100_A100,R10_A10
51,SeuratV5,Embedding,19786.0,0.5168376253034616,0.1758846841046288,0.8759148673751974,0.9278735857942568,0.2153300876885084,0.4086198977192996,0.336977470634521,0.6501868026256755,0.5965761413385169,0.9894452546332608,0.993876062831646,0.8832395672798157,0.4690722342994478,R100_A100,R25_A25
52,SeuratV5,Embedding,19786.0,0.559866151257348,0.1826107002477936,0.8360628539217339,0.8869670462273667,0.1796013866517175,0.442538679545448,0.3599870607078598,0.6932961361410432,0.632095399920256,0.9937279393782836,0.9968722005070124,0.900711178779602,0.4778118096292019,R100_A100,R50_A50
53,SeuratV5,Embedding,19786.0,0.5846769937292903,0.1243211469850607,0.8087558081200303,0.8448704897660763,0.1748425655445795,0.4188971739676536,0.3377481992903917,0.6980497835111182,0.6335970945444354,0.994557327846338,0.9982855272319348,0.8934883773326874,0.4810179960396554,R100_A100,R75_A75
54,StabMap,Embedding,19786.0,0.7752906608929075,0.7475162788277105,0.7381205625821115,0.8741178926143651,0.4339483557347905,0.258267030485702,0.2907140793687681,0.3708344155630819,0.3867545376030147,0.8868285302601121,0.8362437653274635,0.4701212551444769,0.4665386608491341,R10_A10,R100_A100
55,StabMap,Embedding,19786.0,0.7644349825787694,0.7577395147238593,0.7798058658808372,0.9053072007256356,0.342037881390747,0.3044232908087674,0.3796127298388406,0.447763687585945,0.4781517038049619,0.9230341007854956,0.897924765015294,0.4700001217424869,0.4849810340545243,R25_A25,R100_A100
56,StabMap,Embedding,19786.0,0.779088058583231,0.7761487730324997,0.7622897888204172,0.9155690770776532,0.2825402103290422,0.3030119726401148,0.382043060200646,0.5058375715943058,0.5269820614245054,0.9385295450163738,0.9290619085482396,0.4963631173595786,0.5085801485822432,R50_A50,R100_A100
57,StabMap,Embedding,19786.0,0.7733968758420112,0.7699921272956183,0.7944447207804605,0.921237872124902,0.2339107005602698,0.334820118296091,0.4039819513556011,0.5193720961881318,0.5335319016391068,0.9468467518124084,0.9448690538046642,0.5228018388152122,0.5113894653558317,R75_A75,R100_A100
58,StabMap,Embedding,19786.0,0.8444421565701034,0.8197891065427731,0.7138634013769726,0.8506042292476896,0.5465186711007259,0.2871331443532378,0.2940056619101987,0.3003386372565287,0.3024257365822976,0.8408325398619276,0.7441211394622803,0.3578916937112808,0.4474364336993959,R100_A100,R10_A10
59,StabMap,Embedding,19786.0,0.8758696834380951,0.8298298536227574,0.847545325104947,0.9118154410248251,0.4824589687392022,0.3481888762259503,0.4091416522144011,0.4535748505660359,0.4742949572265478,0.9260335005025948,0.9025233894353484,0.4468698427081108,0.4870433437948425,R100_A100,R25_A25
60,StabMap,Embedding,19786.0,0.863529658181337,0.8199457414492288,0.8320731368145959,0.913946204382477,0.3560809782015438,0.3505249078849456,0.4005431365263752,0.5207540301675792,0.5268860124167455,0.9395172549462816,0.9326523854418924,0.5120730893686414,0.5008882942816449,R100_A100,R50_A50
61,StabMap,Embedding,19786.0,0.7733285438550171,0.7668850435445922,0.8368259149820606,0.9203115814789,0.2473449182495214,0.3279103907811017,0.3812572988129036,0.5237608240866644,0.525128497493667,0.9498978899666844,0.938105784734804,0.5110736144706607,0.5146053344425228,R100_A100,R75_A75
62,StabMap,Embedding,19786.0,0.8008261568235479,0.7777433186614153,0.8093678423093285,0.9249294966645948,0.216848498423464,0.3328358937432772,0.3924570746011029,0.529944417534557,0.5370258830350088,0.9469083708539854,0.9421675609660276,0.5408121161162853,0.5168498437851667,R100_A100,R100_A100
